episode_id,blank_id,answer,alt_answers,in_source,answer_from,evidence,hint
s0101,A,판문점,,,B,,이 편지 속 장소는 다른 자료에서 확인할 수 있습니다. 자료 B(신문)를 읽어보세요.
s0101,B,해리슨 2세,해리슨,,C,,이 인물은 사진 자료에서 확인할 수 있습니다. 자료 C(사진)의 캡션을 읽어보세요.
s0101,C,남일,,,B,,공산군 측 수석대표의 이름은 자료 B(신문)에서 확인할 수 있습니다.
s0101,D,4,사;4km;4킬로미터,,B,,각 2킬로미터씩 후퇴하면 총 폭은? 자료 B(신문)를 참고하세요.
s0102,A1,임진강,,,C,,사진 자료(C)의 캡션에서 서쪽 출발점을 확인하세요.
s0102,A2,고성,,,C,,사진 자료(C)의 캡션에서 동쪽 끝점을 확인하세요.
s0102,B,귀농선,,,D,,이 용어는 카카오톡 대화(D)에서 선생님이 언급합니다.
s0102,C,군사분계선,MDL,,A,,지식인 Q&A(A)의 답변에서 이 선의 정식 명칭을 확인하세요.
s0102,D,4,,,A,,지식인 Q&A(A)의 요약에서 DMZ의 총 폭을 확인하세요.
s0103,A,임진강,,,C,,사진 자료(C)의 캡션에서 서쪽 시작점을 확인하세요.
s0103,C,904,903.8,,A,,일기(A)에서 DMZ 면적을 확인하세요.
s0103,D,8,,,A,,일기(A)에서 DMZ에 닿아 있는 시군의 수를 세어보세요.
s0104,A,스위스,,,C,,사진 자료(C)의 캡션에서 NNSC의 구성을 확인하세요.
s0104,B,"1,000",1000,,D,,카카오톡 대화(D)에서 동현이 언급하는 인원 제한을 확인하세요.
s0104,C,중립국감독위원회,NNSC,,A,,편지(A)에서 NNSC의 한국어 명칭을 확인하세요.
s0104,D,유엔사,유엔군사령부;UNC,,B,,신문 기획보도(B)에서 DMZ 관할 담당 기관을 확인하세요.
s0105,A1,2018,,,B,,보도자료(B)의 타임라인에서 JSA 비무장화 합의 연도를 확인하세요.
s0105,A2,2023,,,B,,보도자료(B)의 타임라인에서 북한이 합의를 파기한 연도를 확인하세요.
s0105,B,유엔사,유엔사령부;UNC,,A,,편지(A)에서 JSA 경비대대의 지휘 체계를 확인하세요.
s0105,D,판문각,,,A,,편지(A)에서 탁자 건너편 북측 건물 이름을 확인하세요.
s0106,A,그뤼네스 반트,그뤼네스반트,,B,,신문 기획보도(B)에서 독일의 생태 회랑 이름을 확인하세요.
s0106,B,벤하이,,,D,,구술 인터뷰(D)에서 베트남 DMZ의 강 이름을 확인하세요.
s0106,C,22,,,B,,신문 기획보도(B)에서 베트남 DMZ 존속 기간을 확인하세요.
s0106,D,유엔평화유지군,UNFICYP,,B,,신문 기획보도(B)에서 키프로스 그린라인 관리 기관을 확인하세요.
